,Unnamed: 0,product names,Price
0,0,Planet Z Omega Running Shoes For Men,"₹4,769"
1,1,GlideEase M Running Shoes For Men,"₹1,565"
2,2,Sneakers For Men,"₹1,231"
3,3,Sneakers For Men,"₹1,517"
4,4,Sneakers For Men,"₹1,517"
5,5,Walking Shoes For Men,"₹1,199"
6,6,Sneakers For Men,"₹1,517"
7,7,Fluo M Running Shoes For Men,"₹1,899"
8,8,Sports Training & Gym Shoes For Men,"₹1,517"
9,9,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹629
10,10,Men's White Sneakers Sneakers For Men,"₹1,499"
11,11,Men Backstrap sandal Black Sandal,"₹2,199"
12,12,Walking Shoes For Men,"₹1,517"
13,13,Men Camel Sandal,"₹2,037"
14,14,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹629
15,15,Sneakers For Men,"₹1,231"
16,16,Casuals For Men,"₹1,394"
17,17,Mystere M Running Shoes For Men,"₹1,679"
18,18,Slippers,₹374
19,19,Men Literide Clog Black Clogs Sandal,"₹2,397"
20,20,BMW MMS Neo Cat Mid High Tops For Men,"₹4,499"
21,21,GlideEase M Running Shoes For Men,"₹2,159"
22,22,Running Shoes For Men,"₹1,495"
23,23,Boots For Men,"₹1,605"
24,24,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹721
25,25,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹721
26,26,GEL-CONTEND 4B Running Shoes For Men,"₹3,199"
27,27,Statix M Running Shoes For Men,"₹1,494"
28,28,Men's Beige Faux Leather Casual Slip On Loafers Loafers...,₹764
29,29,Men Literide Clog Black Clogs Sandal,"₹2,397"
30,30,Adi Zoom M Running Shoes For Men,"₹1,649"
31,31,Hyperon 1.0 M Running Shoes For Men,"₹1,463"
32,32,Running Shoes For Men,₹976
33,33,Slip On For Men,₹659
34,34,Men Camel Sandal,"₹1,677"
35,35,Walking Shoes For Men,"₹1,724"
36,36,Pacer Prime Casuals For Men,"₹1,889"
37,37,Adiscend M Running Shoes For Men,"₹1,346"
38,38,Sneakers For Men,"₹1,299"
39,39,Training & Gym Shoes For Men,"₹1,724"
